Disease_UMLS,Disease_CUI,Symptom,Symptom_CUI
sindrome da furto della succlavia,C0038531,disturbi alla vista,C0547030
sindrome da furto della succlavia,C0038531,ronzio nelle orecchie,C0040264
sindrome da furto della succlavia,C0038531,disturbi della sensibilità della pelle,C0012766
sindrome da furto della succlavia,C0038531,tendenza ad inciampare,C0007758
sindrome da furto della succlavia,C0038531,perdita della sensibilità,C0852415
sindrome da furto della succlavia,C0038531,dolore al petto,C0030193
sindrome da furto della succlavia,C0038531,lividi a chiazze,C0030232
miocardite,C0027059,affaticamento,C0015672
miocardite,C0027059,febbre,C0015967
miocardite,C0027059,diarrea,C0011991
miocardite,C0027059,tosse,C0010200
miocardite,C0027059,macchie a rilievo sulla pelle,C0015230
miocardite,C0027059,dolore al petto,C0008031
miocardite,C0027059,palpitazioni,C0030252
intertrigine,,macchie scure sulla pelle,
intertrigine,,squame sulla pelle,
intertrigine,,prurito,
intertrigine,,pustole,
intertrigine,C0021807,erosioni cutanee,C0085624
colangite,,dolore addominale,
colangite,C0008311,dolore al petto,C0030193
colangite,C0008311,febbre,C0015967
colangite,,diarrea,
colangite,,perdita di peso,
colangite,,debolezza,
colangite,,perdita dell’appetito,
colangite,,prurito,
colangite,C0008311,ittero - pelle giallastra,C0022346
colangite sclerosante primitiva,C0566602,ittero - pelle giallastra,C0022346
colangite sclerosante primitiva,,febbre,
colangite sclerosante primitiva,C0566602,affaticamento,C0015672
colangite sclerosante primitiva,C0566602,stanchezza - fatica,C0015672
colangite sclerosante primitiva,,perdita di peso,
colangite sclerosante primitiva,,perdita dell’appetito,
colangite sclerosante primitiva,,dolore addominale,
colangite sclerosante primitiva,C0566602,fegato ingrossato,C0019209
colangite sclerosante primitiva,C0566602,nausea e sazietà,C0038002
colangite sclerosante primitiva,C0566602,prurito,C0033774
colangite sclerosante primitiva,C0566602,diarrea,C0008370
sindrome da carcinoide,,debolezza,
sindrome da carcinoide,,tachicardia,
sindrome da carcinoide,,perdita di peso,
sindrome da carcinoide,,difficoltà respiratorie,
sindrome da carcinoide,,dolore addominale,
sindrome da carcinoide,,vampate di calore,
sindrome da carcinoide,C0024586,attacco d'asma,C0038218
sindrome da carcinoide,C0024586,rossore,C0016382
sindrome da carcinoide,C0024586,diarrea,C0011991
mielofibrosi,,debolezza,
mielofibrosi,,fiato corto,
mielofibrosi,,fegato ingrossato,
mielofibrosi,,febbre,
mielofibrosi,,anemia - pallore,
mielofibrosi,,sudorazione notturna,
mielofibrosi,,ematomi,
mielofibrosi,C0852437,dolore alle braccia,C0023518
mielofibrosi,C0852437,prurito,C0702266
mielofibrosi,C0852437,nausea e sazietà,C0038002
gastrite acuta,C0149518,dolore al petto,C0030193
gastrite acuta,C0149518,vomito,C0042963
gastrite acuta,C0149518,vomito con sangue,C0025222
gastrite acuta,C0149518,sangue nelle feci,C0085577
gastrite acuta,C0149518,nausea,C0027497
gastrite acuta,C0149518,nausea e sazietà,C3714614
gastrite acuta,C0149518,sangue dal retto,C0014724
gastrite acuta,C0149518,pancia gonfia,C1291077
rachitismo,C0035579,rigonfiamento dei polsi,C0392452
rachitismo,C0035579,incurvatura delle gambe,C0426824
rachitismo,C0035579,crampi,C0039621
rachitismo,C0035579,convulsioni,C0036572
rachitismo,,sporgenze ossee sul petto,
rachitismo,C0035579,carie,C0011334
miomatosi uterina,C3888977,dolori addominali,C0025323
miomatosi uterina,C3888977,perdita di sangue uterino,C0025874
miomatosi uterina,C3888977,difficoltà nell'urinare,C0005682
miomatosi uterina,C3888977,addome acuto,C0000727
miomatosi uterina,C3888977,anemia - pallore,C0002871
miomatosi uterina,C3888977,infertilità,C0021359
leucemia mieloide acuta,C0023467,stanchezza - fatica,C0015672
leucemia mieloide acuta,C0023467,febbre,C0015967
leucemia mieloide acuta,C0023467,sudore notturno,C0028081
leucemia mieloide acuta,C0023467,suscettibilità alle infezioni,C0236171
leucemia mieloide acuta,C0023467,numerosi puntini rossi sulla pelle,C0031256
leucemia mieloide acuta,C0023467,anemia - pallore,C0002871
otite media,,vomito,
otite media,,diarrea,
otite media,,febbre,
otite media,,brividi,
otite media,,nausea,
otite media,C0029882,dolore alle orecchie,C0013456
otite media,C0029882,perdita dell'udito,C0018777
commozione cerebrale,,stanchezza,
commozione cerebrale,,ronzio nelle orecchie,
commozione cerebrale,,difficoltà nel parlare,
commozione cerebrale,,vomito,
commozione cerebrale,,nausea,
commozione cerebrale,C0006107,difficoltà nel movimento,C0042384
commozione cerebrale,C0006107,mal di testa,C0018681
commozione cerebrale,C0006107,vertigini,C0012833
esofagite da reflusso,,sensazione di bruciore,
esofagite da reflusso,,rigurgito,
esofagite da reflusso,C0014869,difficoltà nel deglutire,C0011168
esofagite da reflusso,C0014869,"dolore al torace, mancanza di ossigeno",C0002962
cistite,C0010692,difficoltà nell'urinare,C0013428
cistite,C0010692,urine frequenti,C0028734
cistite,C0010692,dolore e bruciore mentre si urina,C0042023
diverticolosi,,diarrea,
diverticolosi,,febbre,
diverticolosi,,dolore addominale,
diverticolosi,,flautulenza,
diverticolosi,,crampi,
diverticolosi,C1510475,emorragia,C0019080
diverticolosi,C1510475,ulcera,C0549099
diverticolosi,C1510475,febbre,C0031154
malattia da immersione,C0011119,dolore al petto,C0030193
malattia da immersione,C0011119,edema - accumulo di liquido,C0013604
malattia da immersione,C0011119,disturbi della sensibilità della pelle,C0012766
malattia da immersione,C0011119,perdita dell'udito,C0494562
malattia da immersione,C0011119,perdita della vista,C0456909
malattia da immersione,C0011119,perdita di coscienza,C0041657
malattia da immersione,C0011119,difficoltà respiratorie,C0162297
urosepsi,C0149801,brividi,C0085593
urosepsi,C0149801,febbre,C0015967
urosepsi,C0149801,tachicardia,C0039239
urosepsi,C0149801,aumento della frequenza respiratoria,C0231835
urosepsi,C0149801,"vertigini, capogiri e confusione",C0020649
urosepsi,C0149801,cianosi - colorito bluastro-violaceo di pelle,C0010520
urosepsi,C0149801,diminuzione delle urine,C0028961
sindrome di wallenberg,C0043019,difficoltà nel parlare,C1527344
sindrome di wallenberg,C0043019,difficoltà nel muovere le labbra,C0013362
sindrome di wallenberg,,vomito,
sindrome di wallenberg,,raucedine,
sindrome di wallenberg,,disturbi alla vista,
sindrome di wallenberg,C0043019,perdita della sensibilità,C0020580
sindrome di wallenberg,,nausea,
sindrome di wallenberg,C0043019,vertigini,C1384666
carcinoma tonsillare,C0558355,difficoltà nel deglutire,C0011168
carcinoma tonsillare,C0558355,raucedine,C0019825
carcinoma tonsillare,C0558355,alito cattivo,C0018520
tumore di klatskin,C0206702,ittero - pelle giallastra,C0022346
tumore di klatskin,C0206702,prurito,C0033774
tumore di klatskin,C0206702,feci untuose,C0038238
linfangite,C0024225,malessere generale,C0231218
linfangite,C0024225,febbre,C0015967
linfangite,C0024225,brividi,C0085593
linfangite,C0024225,tachicardia,C0039239
ulcera gastroduodenale,C0030920,nausea e sazietà,C3714614
ulcera gastroduodenale,C0030920,nausea,C0027497
ulcera gastroduodenale,C0030920,vomito,C0042963
ulcera gastroduodenale,C0030920,perdita di appetito,C0003123
ulcera gastroduodenale,C0030920,emorragie,C0014724
ulcera gastroduodenale,C0030920,perdita di peso,C2363736
ulcera gastroduodenale,C0030920,nausea e sazietà,C3714614
glaucoma,C0017601,dolore agli occhi,C0151827
glaucoma,C0017601,vomito,C0042963
glaucoma,C0017601,perdita della vista,C0456909
glaucoma,C0017601,assenza riflesso fotomotore,C0034941
glaucoma,C0017601,mal di testa,C0018681
glaucoma,C0017601,occhi arrossati,C0235267
glaucoma,C0017601,vomito,C0042963
glaucoma,C0017601,nausea,C0027497
orbitopatia tiroidea,,sporgenza degli occhi,
orbitopatia tiroidea,,occhi arrossati,
orbitopatia tiroidea,,dolore agli occhi,
orbitopatia tiroidea,C3495928,paura della luce,C0085636
orbitopatia tiroidea,C3495928,sensazione di corpo estraneo negli occhi,C0423602
spondilite anchilosante,C0949690,dolore ai glutei,C0574960
spondilite anchilosante,C0949690,dolori articolari,C0242490
spondilite anchilosante,C0949690,riduzione della vista,C0022081
spondilite anchilosante,C0949690,mal di schiena,C0004604
spondilite anchilosante,C0949690,riduzione della vista,C0022081
spondilite anchilosante,C0949690,lacrimazione e dolore all'occhio,C0022073
stenosi aortica,C0003492,mal di testa,C0018681
stenosi aortica,C0003492,sangue dal naso,C0014591
stenosi aortica,C0003492,vertigini,C0012833
stenosi aortica,C0003492,ronzio nelle orecchie,C0040264
stenosi aortica,C0003492,cianosi - colorito bluastro-violaceo di pelle,C0010520
stenosi aortica,C0003492,fegato ingrossato,C0019214
ritenzione urinaria,C0152032,diminuzione delle urine,C0003460
ritenzione urinaria,C0152032,incontinenza,C0375553
sindrome neurolettica maligna,,rigidità muscolare,
sindrome neurolettica maligna,,tachicardia,
sindrome neurolettica maligna,C0027849,febbre,C0015967
sindrome neurolettica maligna,C0027849,delirio,C0201973
distacco della retina,,lampi di luce,
distacco della retina,C0035305,mosche volanti,C0016242
distacco della retina,C0035305,disturbi alla vista,C0036454
emofilia,,dolori articolari,
emofilia,,gonfiore alle gambe,
emofilia,,sangue nelle urine,
emofilia,C0019069,ematoma,C0018944
emofilia,C0019069,sangue dal naso,C0014591
emofilia,C0019069,mestruazioni particolarmente abbondanti,C0025323
malattia di gaucher,C0017205,dolore alle ossa,C0151825
malattia di gaucher,C0017205,sanguinamento,C0019087
malattia di gaucher,C0017205,mestruazioni particolarmente abbondanti,C0025323
malattia di gaucher,C0017205,sangue dal naso,C0014591
malattia di gaucher,C0017205,sanguinamento della pelle,C0852361
malattia di gaucher,C0017205,perdita di sangue uterino,C0025874
malattia di gaucher,C0017205,sanguinamento dalle gengive,C0017565
malattia di gaucher,C0017205,suscettibilità alle infezioni,C0236171
malattia di gaucher,C0017205,difficoltà nel respirare,C0013404
arteriopatia periferica,,cianosi - colorito bluastro-violaceo di pelle,
arteriopatia periferica,,perdita di peli,
arteriopatia periferica,C1704436,dolore al petto,C0030193
arteriopatia periferica,C1704436,difficoltà nel respirare,C0036974
arteriopatia periferica,C1704436,perdita della sensibilità,C0852415
rabdomiolisi,C0035410,dolori muscolari e articolari,C0231528
rabdomiolisi,C0035410,debolezza nelle braccia,C0947912
rabdomiolisi,C0035410,febbre,C0015967
rabdomiolisi,C0035410,nausea,C0027497
rabdomiolisi,C0035410,urine scure,C0027080
rabdomiolisi,C0035410,debolezza,C0020461
rabdomiolisi,C0035410,dolori articolari,C0740394
rosolia,,influenza,
rosolia,,occhi arrossati,
rosolia,,perdita dell’appetito,
rosolia,C0035920,stanchezza,C0025007
rosolia,C0035920,malessere generale,C0015231
rosolia,C0035920,macchie a rilievo sulla pelle,C0015230
sesta malattia,C0023449,febbre,C0015967
sesta malattia,C0023449,sudore notturno,C0028081
sesta malattia,C0023449,sensazione di bruciore,C0026946
sesta malattia,C0023449,numerosi puntini rossi sulla pelle,C0040034
sesta malattia,C0023449,ingrossamento dei linfonodi,C0497156
sesta malattia,C0023449,nausea e sazietà,C0038002
sesta malattia,C0023449,anemia - pallore,C0002871
sesta malattia,C0023449,suscettibilità alle infezioni,C0236171
sesta malattia,C0023449,stanchezza - fatica,C0015672
sesta malattia,C0023449,fegato ingrossato,C0019214
eritrasma,C0014752,prurito all'inguine,C0006840
eritrasma,C0014752,dermatite da contatto,C0011616
eritrasma,C0014752,dolore al pene,C0033860
eritrasma,C0014752,desquamazione della pelle,C0036508
eritrasma,C0014752,arrossamento cutaneo,C0040252
nicturia,C0028734,cistite,C0010692
nicturia,C0028734,incontinenza,C0042024
nicturia,C0028734,insufficienza cardiaca,C0018801
nicturia,C0028734,iperplasia prostatica benigna,C1704272
nicturia,C0028734,insufficienza renale,C1565489
mielofibrosi,,febbre,
mielofibrosi,,ematoma,
mielofibrosi,,sudorazione notturna,
mielofibrosi,,ittero - pelle giallastra,
mielofibrosi,,fegato ingrossato,
mielofibrosi,,fiato corto,
mielofibrosi,,stanchezza,
mielofibrosi,C0948968,nausea e sazietà,C0038002
"alveolite allergica, esogena",C0002390,mal di testa,C0018681
"alveolite allergica, esogena",C0002390,brividi,C0085593
"alveolite allergica, esogena",C0002390,affaticamento,C0015672
"alveolite allergica, esogena",C0002390,perdita di peso,C2363736
"alveolite allergica, esogena",C0002390,febbre,C0015967
"alveolite allergica, esogena",C0002390,tosse,C0010200
"alveolite allergica, esogena",C0002390,difficoltà nel respirare,C0013404
"alveolite allergica, esogena",C0002390,aumento della frequenza respiratoria,C0231835
afasia,,problemi di scrittura e lettura,
afasia,,tendenza a parlare rapidamente,
afasia,,difficoltà nel ripetere le frasi,
afasia,C0003550,frasi prive di senso,C0234488
mastoidite,,dolore alla mascella,
mastoidite,,vertigini,
mastoidite,,febbre,
mastoidite,C0024904,dolore all'orecchio,C0013456
mastoidite,C0024904,perdita dell'udito,C0018777
mastoidite,C0024904,febbre,C0015967
reazione herxheimer,,lesioni cutanee,
reazione herxheimer,,brividi,
reazione herxheimer,,dolori muscolari,
reazione herxheimer,C0259756,febbre,C0015967
reazione herxheimer,C0259756,mal di testa,C0018681
reazione herxheimer,C0259756,dolori articolari,C0003862
reazione herxheimer,C0259756,macchie a rilievo sulla pelle,C0015230
sclerosi sistemica progressiva,C1258104,edema - accumulo di liquido,C0013604
sclerosi sistemica progressiva,C1258104,atrofia muscolare,C0026846
sclerosi sistemica progressiva,C1258104,lividi a chiazze,C0030232
sclerosi sistemica progressiva,C1258104,capillari visibili,C0235499
sclerosi sistemica progressiva,C1258104,brividi,C0027121
sclerosi sistemica progressiva,C1258104,dolore addominale,C0021847
sclerosi sistemica progressiva,C1258104,alito cattivo,C0549493
sclerosi sistemica progressiva,C1258104,dolori muscolari e articolari,C0034069
sclerosi sistemica progressiva,C1258104,miocardite,C0027059
sclerosi sistemica progressiva,C1258104,dolore alle braccia,C0031046
sclerosi sistemica progressiva,C1258104,pressione alta,C0020538
sclerosi sistemica progressiva,,vomito,
sclerosi sistemica progressiva,,nausea,
sclerosi sistemica progressiva,C1258104,dolore al fianco,C0035085
sclerosi sistemica progressiva,C1258104,vertigini,C0155765
sclerosi sistemica progressiva,C1258104,cambiamenti nella pelle,C0478124
sclerosi sistemica progressiva,C1258104,atrite,C0003864
paracheratosi,,pelle biancastra,
paracheratosi,,desquamazione della pelle,
paracheratosi,C0030436,dolore al pene,C0033860
paracheratosi,C0030436,vescicole,C0013595
morbo di still,C0087031,dolori muscolari e articolari,C0231528
morbo di still,C0087031,dolori articolari,C0003862
morbo di still,C0087031,difficoltà nel deglutire,C0011168
morbo di still,C0087031,nausea e sazietà,C0038002
morbo di still,C0087031,ingrossamento dei linfonodi,C0497156
morbo di still,C0087031,febbre,C0015967
morbo di still,C0087031,macchie a rilievo sulla pelle,C0015230
morbo di still,C0087031,dolore alle braccia,C0031046
morbo di still,C0087031,dolore al collo,C0235999
polmonite legionella,C0023241,brividi,C0085593
polmonite legionella,C0023241,dolori muscolari e articolari,C0231528
polmonite legionella,C0023241,tosse,C0010200
polmonite legionella,C0023241,dolore al petto,C0008031
polmonite legionella,C0023241,polmonite,C0032285
polmonite legionella,C0023241,brividi,C0032231
polmonite legionella,C0023241,febbre,C0015967
polmonite legionella,C0023241,starnuti,C0035455
polmonite legionella,C0023241,laringite,C0023067
polmonite legionella,C0023241,mal di testa,C0018681
polmonite legionella,C0023241,confusione,C0009676
polmonite legionella,C0023241,diarrea,C0011991
sindrome di loefgren,,ingrossamento dei linfonodi,
sindrome di loefgren,,febbre,
sindrome di loefgren,,rigidità articolare,
sindrome di loefgren,,gonfiore alle gambe,
sindrome di loefgren,C0340164,"arrossamento cutaneo, prurito",C0014743
sindrome di loefgren,C0340164,atrite,C0003864
idrope fetale,,lividi,
idrope fetale,,pallore,
idrope fetale,,ittero - pelle giallastra,
idrope fetale,C0020305,accumulo di liquido nell'addome,C0003962
idrope fetale,C0020305,liquido nella cavità pleurica,C0032227
idrope fetale,C0020305,difficoltà respiratorie,C0020224
cardiomiopatia ostruttiva,C0007194,tachicardia,C0085612
cardiomiopatia ostruttiva,C0007194,vertigini,C0012833
cardiomiopatia ostruttiva,C0007194,perdita di coscienza ,C0039070
cardiomiopatia ostruttiva,C0007194,difficoltà nel respirare,C0013404
cardiomiopatia ostruttiva,C0007194,"dolore al torace, mancanza di ossigeno",C0002962
sferocitosi,C0553720,anemia - pallore,C0002871
sferocitosi,C0553720,nausea e sazietà,C0038002
sferocitosi,C0553720,tendenza al sanguinamento,C0206160
sferocitosi,C0553720,"Ittero, feci chiare, urine scure (bilirubina)",C0741494
anemia falciforme,C0002895,anemia - pallore,C0002878
anemia falciforme,,vomito,
anemia falciforme,,nausea,
anemia falciforme,C0002895,dolore al fianco,C0035085
anemia falciforme,C0002895,gonfiore alle mani,C0575805
anemia falciforme,C0002895,fegato ingrossato,C0019214
anemia falciforme,C0002895,suscettibilità alle infezioni,C0236171
anemia falciforme,C0002895,eruzioni cutanee,C0243026
anemia falciforme,C0002895,osteoporosi,C0029456
anemia falciforme,C0002895,sangue nelle urine,C0018965
anemia falciforme,C0002895,insufficienza renale,C1565489
anemia aplastica,C0002874,anemia - pallore,C0002871
anemia aplastica,C0002874,mal di gola,C0001824
anemia aplastica,C0002874,numerosi puntini rossi sulla pelle,C0040034
anemia aplastica,C0002874,lividi a chiazze,C0030232
anemia aplastica,C0002874,difficoltà nel respirare,C0013404
anemia aplastica,C0002874,affaticamento,C0015672
anemia aplastica,C0002874,suscettibilità alle infezioni,C0236171
anemia aplastica,C0002874,febbre,C0015967
anemia aplastica,C0002874,sensazione di bruciore,C0026946
anemia aplastica,C0002874,numerosi puntini rossi sulla pelle,C0031256
anemia aplastica,C0002874,sanguinamento dalle gengive,C0017565
anemia aplastica,C0002874,sangue dal naso,C0014591
leucemia a cellule capellute,,perdita di peso,
leucemia a cellule capellute,,dolori alle ossa,
leucemia a cellule capellute,,dolori articolari,
leucemia a cellule capellute,,mal di testa,
leucemia a cellule capellute,,stanchezza,
leucemia a cellule capellute,,sudorazione notturna,
leucemia a cellule capellute,C0023443,febbre,C0030312
leucemia a cellule capellute,C0023443,nausea e sazietà,C0038002
leucemia a cellule capellute,C0023443,suscettibilità alle infezioni,C0236171
sindrome di sezary,C0036920,ingrossamento dei linfonodi,C0497156
sindrome di sezary,C0036920,prurito,C0033774
sindrome di sezary,C0036920,macchie rosso vivo sulle pelle,C0011606
sindrome di sezary,C0036920,verruche,C0870082
sindrome di sezary,C0036920,perdita dei capelli,C0002170
sindrome di sezary,C0036920,unghie deboli,C0221260
leucemia acuta,C0085669,stanchezza - fatica,C0015672
leucemia acuta,C0085669,febbre,C0015967
leucemia acuta,C0085669,sudore notturno,C0028081
leucemia acuta,C0085669,mal di gola,C0001824
leucemia acuta,C0085669,sensazione di bruciore,C0026946
leucemia acuta,C0085669,anemia - pallore,C0002871
leucemia acuta,C0085669,lividi a chiazze,C0030232
leucemia acuta,C0085669,difficoltà nel respirare,C0013404
leucemia acuta,C0085669,affaticamento,C0015672
leucemia acuta,C0085669,numerosi puntini rossi sulla pelle,C0040034
leucemia acuta,C0085669,ingrossamento dei linfonodi,C0497156
leucemia acuta,C0085669,nausea e sazietà,C0038002
leucemia acuta,C0085669,gonfiore alla gengive,C0017574
sindrome di fabry,C0002986,cornea verticillata,C1706559
sindrome di fabry,C0002986,diarrea,C0011991
sindrome di fabry,C0002986,costipazione,C0009806
sindrome di fabry,C0002986,ronzio nelle orecchie,C0040264
sindrome di fabry,C0002986,perdita dell'udito,C0494562
sindrome di fabry,C0002986,difficoltà nel parlare,C0007787
sindrome di fabry,C0002986,tachicardia,C0038454
ipersplenismo,,gengive ritirate,
ipersplenismo,,dolore ai talloni,
ipersplenismo,,gengive arrossate,
ipersplenismo,C0020532,nausea e sazietà,C0038002
ipersplenismo,C0020532,anemia - pallore,C0010828
porpora trombocitopenica immune,C0398650,numerosi puntini rossi sulla pelle,C0031256
porpora trombocitopenica immune,C0398650,sangue dal naso,C0014591
porpora trombocitopenica immune,C0398650,dolori addominali,C0025323
endocardite infettiva,C0014121,febbre,C0015967
endocardite infettiva,C0014121,tachicardia,C0039239
endocardite infettiva,C0014121,brividi,C0085593
endocardite infettiva,C0014121,debolezza,C3714552
endocardite infettiva,C0014121,perdita di appetito,C0003123
endocardite infettiva,C0014121,perdita di peso,C2363736
endocardite infettiva,C0014121,sudore,C0038990
endocardite infettiva,C0014121,dolori articolari,C0003862
endocardite infettiva,C0014121,difficoltà nel respirare,C0018808
endocardite infettiva,C0014121,insufficienza cardiaca,C0018801
endocardite infettiva,C0014121,liquido nei polmoni,C0034063
endocardite infettiva,C0014121,blocco della coscia sinistra,C0023211
endocardite infettiva,C0014121,dolore al petto,C0031039
endocardite infettiva,C0014121,numerosi puntini rossi sulla pelle,C0031256
endocardite infettiva,C0014121,foruncoli,C0042384
endocardite infettiva,C0014121,ingrossamento dell'ultima falange,C0009080
endocardite infettiva,C0014121,sangue nelle urine,C0018965
endocardite infettiva,,vomito,
endocardite infettiva,,nausea,
endocardite infettiva,C0014121,dolore al fianco,C0035085
endocardite infettiva,C0014121,nausea e sazietà,C0038002
endocardite infettiva,C0014121,anemia - pallore,C0002871
endocardite infettiva,C0014121,dolore alle braccia,C0023518
endocardite infettiva,C0014121,numerosi puntini rossi sulla pelle,C0040034
febbre reumatica,C0035436,febbre,C0015967
febbre reumatica,C0035436,mal di testa,C0018681
febbre reumatica,C0035436,sudore,C0038990
febbre reumatica,C0035436,dolori articolari,C0162323
febbre reumatica,C0035436,eritema anulare,C0234906
febbre reumatica,C0035436,eritemi,C0041834
febbre reumatica,C0035436,"arrossamento cutaneo, prurito",C0014743
febbre reumatica,C0035436,miocardite,C0027059
febbre reumatica,C0035436,dolore alle braccia,C0031046
stenosi della valvola mitrale,C0026269,tachicardia,C0004238
stenosi della valvola mitrale,C0026269,embolie,C0013922
stenosi della valvola mitrale,C0026269,congestione polmonare,C0242073
stenosi della valvola mitrale,C0026269,ipertensione polmonare,C0020542
stenosi della valvola mitrale,C0026269,difficoltà nel respirare,C0231807
stenosi della valvola mitrale,C0026269,tosse,C0010200
stenosi della valvola mitrale,C0026269,reflusso,C1956414
stenosi della valvola mitrale,C0026269,fegato ingrossato,C0156195
stenosi della valvola mitrale,C0026269,urine schiumose,C0033687
stenosi della valvola mitrale,C0026269,edema - accumulo di liquido,C0013604
stenosi della valvola mitrale,C0026269,stanchezza - fatica,C0015672
stenosi della valvola mitrale,C0026269,cianosi - colorito bluastro-violaceo di pelle,C0010520
stenosi della valvola mitrale,C0026269,difficoltà nel respirare,C0013404
stenosi della valvola mitrale,C0026269,tosse,C0010200
insufficienza della valvola mitrale,C0026266,difficoltà nel respirare,C0013404
insufficienza della valvola mitrale,C0026266,palpitazioni,C0030252
insufficienza della valvola mitrale,C0026266,tosse notturna,C0231912
insufficienza della valvola mitrale,C0026266,liquido nei polmoni,C0034063
prolasso della valvola mitrale,C0026267,sensazione di un battito mancante o doppio,C0151636
prolasso della valvola mitrale,C0026267,tachicardia,C0039239
prolasso della valvola mitrale,C0026267,perdita di coscienza ,C0039070
prolasso della valvola mitrale,C0026267,stanchezza - fatica,C0015672
prolasso della valvola mitrale,C0026267,affaticamento,C0015672
prolasso della valvola mitrale,C0026267,paura,C0003467
stenosi aortica,C0003507,vampate di calore,C0013404
stenosi aortica,C0003507,"dolore al torace, mancanza di ossigeno",C0002962
stenosi aortica,C0003507,vertigini,C0012833
stenosi aortica,C0003507,perdita di coscienza ,C0039070
stenosi aortica,C0003507,affaticamento,C0015672
stenosi aortica,C0003507,"dolore al torace, mancanza di ossigeno",C0002962
stenosi polmonare,C1956257,stanchezza - fatica,C0015672
stenosi polmonare,C1956257,difficoltà nel respirare,C0013404
stenosi polmonare,C1956257,insufficienza cardiaca,C0018801
stenosi polmonare,C1956257,svenimento,C0002962
stenosi polmonare,C1956257,vertigini,C0012833
stenosi polmonare,C1956257,perdita di coscienza ,C0039070
difetto del setto atriale,C0018817,stanchezza - fatica,C0015672
difetto del setto atriale,C0018817,affaticamento,C0015672
difetto del setto atriale,C0018817,difficoltà nel respirare,C0231807
difetto del setto atriale,C0018817,palpitazioni,C0030252
difetto del setto atriale,C0018817,"dolore al torace, mancanza di ossigeno",C0002962
difetto del setto atriale,C0018817,disturbi alla vista,C0038454
difetto del setto atriale,C0018817,insufficienza cardiaca destra,C0235527
difetto del setto ventricolare,C0018818,ritardo dello sviluppo,C0424605
difetto del setto ventricolare,C0018818,difficoltà nel respirare,C0231807
difetto del setto ventricolare,C0018818,infezione broncopolmonare,C0948783
difetto del setto ventricolare,C0018818,palpitazioni,C0030252
difetto del setto ventricolare,C0018818,insufficienza cardiaca,C0018801
difetto del setto ventricolare,C0018818,cianosi - colorito bluastro-violaceo di pelle,C0010520
difetto del setto ventricolare,C0018818,difficoltà nel respirare,C0013404
difetto del setto ventricolare,C0018818,stanchezza - fatica,C0015672
difetto del setto ventricolare,C0018818,insufficienza cardiaca destra,C0235527
difetto del setto ventricolare,C0018818,perdita di coscienza ,C0039070
difetto del setto ventricolare,C0018818,unghie fragili,C0149651
difetto del setto ventricolare,C0018818,ingrossamento dell'ultima falange,C0009080
difetto del setto ventricolare,C0018818,"vertigini, capogiri e confusione",C0020649
anomalia di ebstein,C0013481,difficoltà nel respirare,C0013404
anomalia di ebstein,C0013481,affaticamento,C0015672
anomalia di ebstein,C0013481,mal di cuore,C0002962
anomalia di ebstein,C0013481,palpitazioni,C0030252
anomalia di ebstein,C0013481,cianosi - colorito bluastro-violaceo di pelle,C0010520
anomalia di ebstein,C0013481,fegato ingrossato,C0019209
tetralogia di fallot,C0039685,vampate di calore,C0013404
tetralogia di fallot,C0039685,capogiri,C0857375
tetralogia di fallot,C0039685,stanchezza - fatica,C0015672
tetralogia di fallot,C0039685,ritardo dello sviluppo,C0424605
tetralogia di fallot,C0039685,insufficienza cardiaca destra,C0235527
sindrome di marfan,C0024796,scoliosi,C0036439
sindrome di marfan,C0024796,prolasso della valvola mitrale,C0026267
sindrome di marfan,C0024796,scoliosi,C0036439
sindrome di marfan,C0024796,dita molto lunghe,C0003706
sindrome di marfan,C0024796,dolore ai piedi,C0392477
sindrome di marfan,C0024796,stanchezza,C0026266
intossicazione da digitale,C0151595,nausea,C0027497
intossicazione da digitale,C0151595,diarrea,C0011991
intossicazione da digitale,C0151595,disturbi alla vista,C0547030
intossicazione da digitale,C0151595,perdita di coscienza,C0085610
intossicazione da digitale,C0151595,tachicardia,C0030587
cardiomiopatia dilatativa,,tosse secca,
cardiomiopatia dilatativa,,debolezza,
cardiomiopatia dilatativa,,pallore,
cardiomiopatia dilatativa,C0007193,insufficienza cardiaca,C0023212
cardiomiopatia dilatativa,C0007193,difficoltà nel respirare,C0231807
malattia di chagas,C0041234,febbre,C0015967
malattia di chagas,C0041234,stanchezza - fatica,C0015672
malattia di chagas,C0041234,nausea e sazietà,C0038002
malattia di chagas,C0041234,fegato ingrossato,C0019209
malattia di chagas,C0041234,ingrossamento dei linfonodi,C0497156
malattia di chagas,C0041234,miocardite,C0027059
malattia di chagas,C0041234,difficoltà nel deglutire,C0192389
malattia di chagas,C0041234,"fiato corto, alterazione battiti del cuore",C0018800
malattia di chagas,C0041234,rigurgito,C0025164
malattia di chagas,C0041234,diarrea,C0025160
tamponamento cardiaco,,agitazione,
tamponamento cardiaco,,ansia,
tamponamento cardiaco,,tachicardia,
tamponamento cardiaco,,svenimento,
tamponamento cardiaco,C0007177,perdita di coscienza,C1168392
tamponamento cardiaco,C0007177,debolezza,C0232118
tamponamento cardiaco,C0007177,difficoltà nel respirare,C0231807
tamponamento cardiaco,C0007177,"vertigini, capogiri e confusione",C0020649
tamponamento cardiaco,C0007177,dolore al torace,C0232118
tamponamento cardiaco,C0007177,tachicardia,C0039239
